Blog	four	second	here	music	until	example	want	feature	how	series	re	millions	wasn	service	needed	project	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	week	inside	time	team	along	love	working	anything	following	such	data	so	years	didn	internet	million	wrong	open	city	future	say	note	take	going	where	many	wants	photos	being	around	world	power	image	her	am	tv	th	large	small	past	hours	experience	pick	via	company	learn	its	always	found	really	major	number	also	play	plan	sometimes	set	see	available	last	let	community	recent	using	couple	d	into	link	line	up	us	ago	having	results	try	video	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	email	co	ve	site	off	less	web	day	five	become	does	worth	announced	told	thursday	word	work	provide	earlier	then	them	they	network	created	another	do	away	com	information	launched	photo	night	post	months	way	was	true	update	together	global	change	live	car	december	write	product	still	half	now	year	happen	space	looking	shows	care	than	online	america	only	between	comes	these	media	thinking	real	read	early	amp	business	your	aren	low	lot	trying	building	since	month	very	family	put	taken	tried	help	soon	actually	event	reason	ask	american	clear	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	some	run	step	within	doesn	e	go	facebook	click	products	started	links	including	him	special	times	need	able	based	course	she	key	problem	party	well	page	twitter	home	he	stories	piece	friends	companies	across	likely	even	new	ever	never	campaign	call	tell	give	amazing	president	third	before	better	weeks	went	side	content	isn	features	matter	seen	don	m	stop	bad	said	against	three	website	if	make	left	just	yet	save	deal	down	drive	daily	finally	did	making	may	man	maybe	talk	nbsp	group	interesting	morning	after	thing	think	first	fast	little	anyone	were	especially	show	get	enough	reading	according	mark	those	pay	running	money	either	videos	again	important	u	starting	public	search	two	share	needs	different	coming	through	same	someone	everyone	house	hard	idea	members	done	least	part	believe	most	find	please	mean	point	simple	create	understand	itself	big	bit	google	often	back	single	giving	access	others	themselves	ll	instead	text	taking	value	almost	thought	add	like	happens	under	every	changed	changes	would	phone	must	me	my	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	quickly	n	several	social	election	everything	head	donald	check	no	when	longer	focus	cool	level	says	goes	water	today	trump	name	place	given	white	any	ideas	sure	later	hear	state	ways	come	case	myself	good	without	seems	blog	or	there	far	list	design	what	version	known	short	might	expect	feel	story	store	kind	nothing	his	wrote	art	recently	c	questions	question	long	called	users	once	include	app	use	few	something	looks	choose	related	our	out	their	remember	which	who	why	view	job	will	gets	whole	other	know	press	because	getting	own	made	whether	book
The Viral Garden	5	3	26	6	0	4	34	0	59	9	4	0	8	5	2	4	5	1	4	8	1	8	2	5	6	36	2	1	7	1	73	1	2	7	0	25	5	4	4	1	1	23	8	0	70	6	14	0	0	4	2	0	1	7	0	7	11	15	23	3	0	18	7	4	5	1	5	26	1	9	3	5	1	4	1	2	9	13	8	12	6	12	9	0	5	10	2	0	8	0	24	0	14	10	10	5	31	6	6	10	20	2	24	16	5	3	5	4	0	13	3	7	10	1	1	2	14	8	7	0	0	3	17	2	7	3	3	2	20	11	6	5	1	21	0	11	5	1	0	3	0	1	17	1	1	22	50	90	6	7	8	39	3	22	6	3	0	3	41	5	28	90	1	2	4	0	3	3	0	1	9	2	14	2	22	18	3	6	10	2	1	9	8	2	16	2	2	26	122	4	2	9	2	3	13	79	11	0	14	7	4	3	1	25	0	4	0	1	11	3	10	28	10	3	0	0	1	3	8	0	5	11	11	6	8	1	8	1	1	4	1	7	20	0	0	2	3	0	15	10	3	2	14	8	1	3	1	1	8	2	0	3	1	5	5	0	14	8	71	1	17	3	0	11	29	0	7	18	25	3	10	0	1	11	10	5	0	1	9	10	5	7	1	15	7	0	2	4	14	16	2	3	13	0	3	3	69	20	9	21	1	1	1	2	1	0	1	11	4	12	1	4	2	0	5	4	0	8	13	30	26	0	3	0	33	1	5	24	5	8	2	2	10	3	0	3	2	0	3	5	0	0	0	3	8	8	6	4	12	4	16	14	9	0	1	15	5	3	6	7	1	24	9	3	8	6	2	11	13	7	13	8	0	9	19	3	4	1	11	9	17	5	0	4	11	3	11	10	26	2	1	13	0	1	30	0	3	56	68	3	5	14	5	3	9	6	13	8	2	4	6	8	5	0	0	3	1	10	1	0	10	134	0	0	1	0	7	19	40	2	2	5	5	0	3	0	4	0	10	3	2	0	8	6	11	4	3	1	6	7	8	3	16	2	3	46	42	41	1	12	0	44	0	1	1	7	1	2	2	1	0	2	8	6	0	6	0	6	0	8	4	10	3	3	0	20	22	10	1	0	0	6	32	72	3	21	15	24	5	1	50	1	1	17	18	0	40	7	25	7	1	0
First Thoughts	0	7	3	0	1	7	9	1	9	1	0	0	0	13	1	1	3	1	0	2	0	5	0	0	2	1	2	2	2	22	1	1	1	0	1	9	0	0	0	0	1	5	2	30	19	0	0	1	2	2	0	4	1	0	2	4	17	44	2	2	0	1	3	4	0	9	3	9	0	3	1	5	1	0	3	0	1	0	3	8	1	2	7	0	7	8	1	1	1	14	9	1	12	2	0	0	9	0	0	10	8	1	7	1	0	2	4	4	19	2	1	3	2	2	0	0	1	0	8	3	6	1	17	1	2	0	0	0	0	17	2	2	10	3	0	0	4	0	0	0	0	0	6	2	0	9	11	13	6	8	4	13	0	6	1	2	4	6	6	0	5	0	12	29	1	0	9	0	0	0	17	0	1	0	17	3	0	0	0	0	0	12	0	0	7	8	0	6	0	1	2	2	0	3	1	38	0	0	7	1	3	0	0	17	0	2	2	0	15	0	0	4	0	0	0	0	0	2	1	1	0	0	0	4	5	3	0	2	7	7	0	0	12	3	2	4	1	7	10	1	7	0	1	5	0	0	3	0	5	0	3	34	0	2	0	1	3	13	0	4	0	0	1	7	0	0	1	3	53	0	1	0	1	0	4	3	0	0	4	1	0	0	2	6	0	1	1	0	9	0	1	0	0	0	4	2	32	30	2	10	0	5	0	0	0	0	2	0	3	2	0	0	0	700	8	0	0	14	2	7	14	1	1	1	2	0	2	5	2	1	0	0	1	2	1	0	0	1	0	11	4	0	0	7	4	2	2	2	0	3	9	2	4	0	0	1	0	1	4	9	0	7	12	2	2	1	8	45	2	2	4	1	5	1	3	2	0	1	0	1	2	21	9	0	6	0	0	20	13	2	0	7	2	4	4	1	1	8	12	0	19	6	0	30	1	3	1	1	0	3	3	0	0	0	0	0	0	7	1	0	0	8	0	5	2	0	3	17	11	1	0	2	2	0	1	5	1	0	62	1	0	4	2	1	4	0	0	1	1	1	1	0	7	3	1	3	24	5	0	8	6	11	3	0	4	1	0	0	0	1	1	0	1	0	1	0	18	1	44	1	1	3	3	3	8	28	1	1	0	2	0	12	2	10	0	7	11	1	31	0	26	1	1	7	7	1	1	1	1	2	1	5
SpikedHumor - Today's Videos and Pictures	0	6	102	2	1	0	1	1	5	0	2	0	0	0	0	2	1	0	1	6	0	0	2	0	1	5	0	0	0	2	3	0	1	0	0	4	1	0	1	0	0	1	1	0	2	2	0	0	1	0	0	2	2	1	0	1	0	0	2	0	2	1	4	1	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	7	0	2	1	2	0	3	3	0	0	4	4	0	4	2	0	0	4	1	1	2	0	0	13	2	2	1	1	0	15	1	1	0	0	0	0	1	0	1	0	1	4	1	1	1	1	0	0	0	2	1	3	0	0	1	0	0	2	0	0	0	1	1	2	0	0	2	3	0	1	0	3	2	1	6	0	0	0	1	3	0	2	4	0	0	1	0	1	2	4	3	0	0	2	1	0	0	0	3	0	0	0	1	0	4	0	2	0	1	0	0	4	0	1	0	0	6	0	0	0	0	0	1	0	0	2	3	0	0	0	0	1	0	2	0	3	0	0	0	0	1	0	0	2	0	1	5	3	0	0	0	1	0	9	0	0	0	1	0	2	0	0	0	1	0	0	1	3	1	1	1	0	0	3	1	3	0	0	1	0	0	7	1	0	0	0	1	0	5	7	3	1	0	1	1	0	1	0	0	2	0	0	2	2	0	0	0	0	0	3	1	0	0	3	0	0	3	1	2	2	12	0	0	3	3	0	0	0	2	3	1	4	2	2	0	1	2	1	3	0	2	2	0	1	0	0	0	5	4	0	0	1	0	2	0	1	1	0	4	1	0	3	0	1	1	0	1	0	0	1	0	0	1	2	2	0	0	0	1	0	7	0	2	0	2	1	0	0	0	1	0	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	5	0	1	3	0	0	2	2	2	5	8	2	3	0	0	0	1	1	0	5	0	2	2	0	0	102	1	2	2	3	0	0	1	0	0	1	2	0	0	1	4	0	0	5	0	1	0	2	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	2	2	0	0	0	3	1	1	1	0	5	0	1	0	2	0	3	0	1	0	0	9	0	0	0	0	1	0	2	1	0	2	0	3	0	1	2	1	0	0	1	1	3	0	0	3	4	1	0	5	2	1	2	4	0	3	0	0	0	0	0
The Official Google Blog	3	2	10	1	0	6	8	2	24	4	46	2	2	1	4	13	3	3	1	10	6	6	5	4	6	7	10	4	6	3	23	7	9	2	1	28	12	4	0	12	1	2	8	6	23	7	1	11	12	0	7	5	2	3	4	8	4	7	15	0	7	3	10	14	5	9	2	0	3	2	3	3	4	0	15	1	4	6	15	5	1	3	0	2	7	28	8	1	0	4	14	8	8	4	3	1	16	0	6	11	0	1	11	18	4	1	7	7	4	8	1	12	3	3	10	0	3	5	9	5	2	2	2	3	4	0	0	2	38	10	6	2	6	8	4	3	3	0	2	3	0	0	11	3	3	5	15	28	2	5	2	17	3	1	7	2	5	0	4	7	9	10	2	3	9	6	3	4	4	2	1	4	3	2	27	25	0	3	4	3	2	18	21	1	7	4	2	31	3	2	14	4	7	6	25	53	1	3	4	2	7	9	3	1	2	2	4	2	20	1	0	9	0	0	4	0	2	0	5	0	4	0	0	2	3	7	10	2	15	3	4	10	3	2	3	4	0	2	5	0	2	5	5	1	7	1	0	5	16	8	18	4	1	6	1	4	7	1	0	6	6	6	0	4	4	23	1	11	60	2	4	0	1	2	5	0	0	4	8	9	2	1	1	13	0	4	1	6	7	5	2	0	1	0	3	7	22	10	1	21	2	1	1	3	6	2	0	2	4	0	0	0	2	0	3	0	0	6	1	1	10	3	1	2	8	2	4	17	0	0	3	1	8	11	1	2	0	2	2	6	2	4	2	3	10	13	6	4	4	17	7	0	2	1	2	1	3	5	0	9	4	17	5	1	1	1	2	14	5	1	2	0	97	2	7	3	4	10	1	0	6	2	3	5	1	4	0	6	24	1	0	6	0	5	9	7	2	2	5	3	3	16	2	7	3	10	1	2	4	5	1	2	0	1	1	0	0	8	5	0	5	5	3	4	3	0	1	9	15	1	3	0	3	2	1	0	29	0	0	3	0	0	6	4	0	0	3	1	12	2	0	2	1	6	0	4	39	9	2	1	2	19	2	1	0	2	0	2	2	4	1	1	2	0	2	2	0	4	2	6	1	5	3	2	27	22	7	2	1	4	1	82	10	61	0	13	17	5	13	7	23	0	1	16	3	0	6	3	3	3	9	2
Neil Gaiman's Journal	11	1	41	3	8	3	16	0	35	6	11	2	13	2	4	1	3	11	14	8	8	32	12	5	54	81	2	3	19	18	61	1	4	14	3	42	3	3	14	7	10	2	9	0	66	22	14	6	0	2	0	2	0	11	6	12	41	15	15	1	7	12	14	19	5	13	24	22	9	17	2	3	2	8	0	2	5	0	3	6	5	11	29	1	1	17	3	1	6	9	23	5	30	7	0	2	5	13	36	24	10	3	46	44	21	12	2	3	2	6	4	0	15	3	5	1	19	32	4	0	8	1	18	5	6	12	6	5	37	3	13	6	1	20	1	4	7	3	3	16	3	8	19	3	3	20	41	65	0	2	8	39	20	31	2	0	14	17	10	15	21	178	2	0	9	5	5	3	0	1	22	0	20	3	36	31	6	2	5	6	3	14	11	1	24	12	8	15	4	4	5	21	7	2	0	23	1	1	9	7	1	8	8	26	15	24	2	4	11	5	21	12	1	4	17	1	2	8	1	0	2	10	8	8	5	10	17	5	5	0	1	0	36	11	2	2	7	11	19	5	4	0	6	3	4	52	2	2	14	6	2	2	32	0	6	2	16	2	7	6	113	19	4	8	0	3	5	20	65	11	15	0	8	6	8	7	0	1	24	6	5	22	4	2	5	0	2	8	10	74	0	6	37	1	18	2	49	16	11	24	6	3	4	6	1	0	3	21	7	13	5	1	7	309	0	3	9	14	22	15	35	3	13	8	53	6	10	42	8	9	1	5	8	10	4	16	2	0	5	2	0	3	7	0	20	2	3	11	16	12	7	6	6	5	8	15	1	10	0	13	4	8	13	1	3	2	1	1	1	2	6	18	0	3	35	2	3	0	1	4	23	7	5	3	0	10	14	1	68	1	2	4	3	1	48	11	4	85	82	4	13	27	26	12	22	7	14	26	9	5	21	7	8	6	2	6	6	50	0	1	2	2	0	9	9	0	1	17	58	3	0	3	4	4	8	3	6	0	4	6	3	4	16	5	8	7	4	1	5	10	7	3	25	6	6	17	82	53	2	9	5	59	6	5	7	6	1	7	14	3	8	4	65	17	68	2	0	6	0	22	12	0	5	3	1	10	19	25	9	1	0	30	70	21	3	43	54	14	17	1	51	5	7	22	15	10	35	9	7	19	3	76
Signal v. Noise - Medium	4	7	31	2	8	6	21	13	53	3	51	0	10	0	7	36	12	6	1	7	3	16	5	3	25	20	6	5	15	8	42	0	15	29	6	51	52	2	4	15	6	2	2	1	40	6	9	1	0	0	9	1	2	4	4	21	14	32	4	6	0	5	8	6	2	2	12	0	1	2	3	15	1	5	4	5	0	28	3	4	13	3	11	4	1	17	0	2	2	10	17	1	9	7	0	3	9	2	19	27	0	1	47	36	1	5	0	10	15	12	14	8	8	6	6	3	8	22	9	1	4	1	10	3	2	9	11	0	32	0	18	7	3	28	6	2	6	4	1	0	0	3	63	2	3	14	30	64	0	2	13	44	4	6	1	2	0	2	6	3	22	111	3	1	7	4	3	1	2	3	7	12	10	1	13	12	3	7	6	1	2	13	3	0	19	8	6	12	4	6	19	2	8	1	17	53	7	3	18	7	8	6	3	20	10	4	0	4	13	1	4	0	4	4	5	2	2	2	9	1	3	1	5	2	8	12	14	2	5	2	2	2	22	7	8	2	10	2	8	7	1	3	14	0	2	1	1	4	17	3	6	7	20	1	7	1	13	3	2	7	15	0	4	0	3	3	0	18	35	4	11	2	7	6	11	1	1	2	14	16	14	6	5	4	11	5	2	3	32	14	3	1	7	2	11	1	48	24	9	44	11	0	1	14	0	1	1	16	15	0	1	2	4	0	1	4	1	14	15	11	11	4	5	0	26	6	4	32	5	1	1	2	14	4	10	10	2	8	3	7	1	6	0	1	20	9	1	7	1	9	15	9	19	1	6	14	0	11	6	10	4	16	4	0	6	6	2	6	3	3	25	3	1	9	10	5	0	1	2	2	12	7	1	4	0	1	7	1	44	6	2	11	2	1	27	2	0	7	23	10	10	18	6	22	12	6	12	8	8	1	18	5	0	5	0	6	1	13	1	2	3	1	0	15	4	0	7	19	45	3	4	0	4	3	3	1	7	0	6	20	2	0	13	21	12	5	2	1	2	13	2	1	9	6	2	0	64	32	5	7	25	67	5	1	4	10	2	11	13	0	5	2	14	1	1	3	3	8	2	12	4	4	7	5	7	17	14	25	2	1	4	79	43	39	3	22	13	10	2	5	8	3	11	13	18	2	18	12	11	7	4	1
456 Berea Street	0	0	2	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	5	6	1	1	0	0	0	0	0	0	0	0	1	1	1	4	0	0	2	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	7	1	1	3	0	1	1	0	0	2	3	4	0	0	0	0	1	3	1	3	1	1	0	2	0	2	1	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	3	2	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	5	0	0	0	0	0	0	4	0	1	6	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	1	1	0	0	0	10	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	2	0	2	0	0	0	5	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	1	0	0	0	2	0	0	0	0	1	3	1	0	1	4	0	1	0	0	0	1	0	4	5	0	1	0	0	0	4	0	0	1	0	2	5	0	0	0	0	0	0	0	3	0	3	0	0	1	1	3	0	0	2	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	2	5	0	1	1	0	0	0	0	0	0	0	3	1	0	3	1	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	5	0	2	0	2	1	3	2	0	2	0	0	0	0	0	2	3	1	0	4	1	2	0	0	0	0	1	2	2	0	0	0	2	12	1	3	0	0	1	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	1	1	0	1	1	0	0	9	6	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	9	0	0	1	1	1	0	1	3	0	4	1	2	0	0	5	1	0	0	0	0	1	1	1	0	0	0
Joel on Software	5	2	9	1	2	3	28	5	20	1	47	2	1	0	2	5	1	1	0	6	2	8	1	3	15	11	4	3	9	3	44	5	1	0	2	12	12	0	3	5	5	0	2	1	57	5	25	9	6	0	10	6	4	3	0	6	14	8	6	2	0	5	12	11	1	2	0	1	0	2	3	5	0	3	2	2	0	10	2	3	5	6	18	2	7	4	1	3	5	4	9	4	3	10	2	0	15	1	5	13	2	1	37	14	0	1	0	4	0	26	9	8	4	0	1	4	3	13	8	14	1	4	5	1	2	4	2	2	4	6	6	1	10	2	1	0	4	2	0	2	0	2	18	2	0	8	24	74	3	0	1	31	2	3	0	4	0	0	4	3	20	35	1	1	3	0	4	5	3	0	3	5	9	2	21	5	1	1	0	2	3	15	3	1	6	1	0	9	0	1	2	4	3	6	9	31	2	0	12	7	6	9	2	9	2	2	2	3	10	3	13	1	0	19	0	0	0	5	1	0	1	0	2	11	5	5	9	0	6	5	1	2	23	1	6	2	10	0	13	0	3	2	6	0	0	1	3	1	15	3	2	2	0	0	3	0	11	3	2	1	1	0	0	1	11	0	3	18	22	1	7	0	4	3	4	3	0	1	4	11	0	4	7	1	0	9	3	1	22	7	3	4	3	0	8	4	32	22	3	30	1	2	1	4	9	0	0	4	6	4	0	3	0	21	1	2	0	4	7	10	16	4	13	4	11	1	2	31	2	2	0	0	13	11	11	18	4	0	3	1	0	5	6	6	8	1	3	11	1	2	5	1	2	0	5	5	3	6	1	1	2	12	10	2	2	5	6	3	2	2	12	10	4	6	5	5	1	1	2	0	13	0	1	1	5	4	6	9	23	1	1	15	2	9	13	0	1	14	10	5	1	9	4	6	9	12	4	4	14	4	7	2	7	2	0	4	3	9	3	0	0	2	0	12	0	0	1	5	21	0	0	1	1	2	0	2	10	0	2	4	1	0	17	3	6	1	2	0	1	5	3	1	6	8	2	5	41	22	1	2	0	25	13	2	3	18	2	0	2	0	11	2	0	0	16	1	0	6	3	4	7	14	2	0	3	13	9	11	0	3	2	34	24	21	1	26	18	9	3	18	21	1	4	16	14	0	18	11	9	4	1	0
Boing Boing	0	1	6	2	1	0	0	3	4	0	1	2	0	1	2	0	2	1	0	2	0	1	3	2	3	2	3	1	2	2	4	1	1	2	0	4	3	0	0	3	0	2	1	4	6	3	2	5	0	1	0	0	1	0	2	2	1	9	3	1	1	2	3	3	3	2	1	1	0	2	0	2	0	2	0	1	5	1	0	7	2	1	0	0	1	1	0	3	0	3	9	2	4	1	1	0	4	0	1	8	0	0	9	6	0	0	1	2	6	1	1	1	0	0	2	0	1	2	1	1	0	3	2	3	2	1	0	1	0	0	4	0	0	1	1	1	3	1	0	1	0	0	1	3	2	8	4	11	0	1	1	3	3	3	0	0	0	2	1	1	2	18	3	1	1	1	0	0	4	1	0	0	3	0	4	4	1	4	1	0	1	5	3	0	7	2	0	2	3	1	3	0	0	1	0	8	0	1	1	0	1	3	1	2	0	0	0	0	1	2	0	0	2	0	2	1	0	0	1	6	0	4	0	0	1	1	5	0	4	0	0	0	2	1	2	0	1	0	4	1	0	0	0	0	1	3	0	1	3	2	2	2	5	1	1	2	2	0	1	0	8	0	0	1	0	2	2	4	20	3	1	6	0	2	2	0	0	0	0	2	0	1	1	0	3	1	1	1	4	8	0	0	6	1	0	0	2	3	0	8	4	0	2	3	1	1	0	1	1	1	7	1	2	0	2	1	0	4	3	1	4	1	1	1	3	0	1	4	5	0	0	0	6	0	0	2	1	0	1	0	0	0	1	1	3	0	2	0	0	3	1	2	1	1	2	0	2	0	0	2	0	6	2	0	0	0	0	0	0	1	1	2	0	0	3	1	1	0	0	4	1	0	1	0	0	1	1	0	4	1	5	1	1	0	2	6	1	2	4	0	2	5	0	5	0	1	0	0	0	0	3	1	0	4	0	2	1	6	0	1	0	1	4	2	2	5	1	3	9	1	0	1	0	2	0	0	3	16	0	0	3	3	2	0	0	1	0	2	0	1	1	0	2	2	0	0	13	10	0	0	2	6	1	2	1	2	0	0	0	3	2	1	10	0	0	0	0	0	1	3	2	0	0	0	0	5	2	2	0	0	1	3	13	5	0	8	5	4	0	0	12	0	0	4	3	1	6	1	3	3	2	2
The Full Feed from HuffingtonPost.com	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	2	2	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	6	0	0	2	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	3	1	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	6	0	0	0	7	2	0	1	0	0	0	4	1	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	3	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	6	0	0	0	0	2	0	0	0	2	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	1	0	0	1	1	1	0	0	0	4	0	0
WIL WHEATON dot NET	8	3	10	0	3	0	9	0	9	0	23	0	6	2	2	0	0	5	1	0	4	11	4	1	13	12	2	0	9	4	15	1	1	3	1	16	0	1	6	2	1	0	2	0	42	8	5	1	0	0	2	0	2	11	0	4	24	9	1	5	0	5	9	5	1	0	8	3	0	0	0	3	2	1	3	1	0	0	1	1	3	1	13	0	1	6	7	1	0	2	9	0	4	10	1	0	1	0	10	15	2	0	24	14	6	1	0	6	1	6	1	0	2	1	0	0	5	11	0	0	2	1	4	5	0	4	0	0	8	0	7	1	0	6	5	1	3	3	0	6	0	7	4	0	0	15	8	23	0	1	2	20	2	0	0	0	0	8	4	2	13	47	0	0	3	0	3	5	5	3	5	0	7	0	10	4	2	1	0	0	1	9	1	3	5	0	0	5	1	0	6	2	0	0	0	10	3	1	9	3	0	2	4	2	4	4	0	0	5	0	1	0	2	4	1	3	0	2	3	0	6	5	2	1	0	7	2	1	4	0	7	0	14	1	1	0	4	0	9	0	1	0	3	1	2	10	0	2	3	2	0	0	15	0	2	0	3	1	1	5	32	1	0	1	0	7	0	18	1	3	8	0	0	4	0	3	3	1	10	1	2	2	2	2	9	0	2	0	13	22	3	3	27	2	0	0	21	6	2	27	0	0	6	3	2	2	2	9	3	4	3	8	3	4	0	2	1	5	22	3	13	0	7	3	19	1	9	27	0	0	1	0	5	1	2	0	0	1	4	2	0	2	1	0	9	4	2	2	1	9	4	1	2	10	3	4	0	1	5	5	6	3	4	0	3	2	0	0	1	0	6	2	0	0	18	1	3	1	0	2	8	1	0	1	0	4	4	0	31	0	0	3	0	0	7	0	1	30	40	3	8	8	10	4	14	0	4	6	1	0	1	3	5	4	0	3	2	13	1	0	1	2	2	2	1	2	0	7	19	2	4	1	2	0	3	2	3	3	0	2	0	5	3	1	2	1	2	0	0	7	1	7	8	2	1	2	20	17	2	0	0	13	0	0	11	0	0	2	20	0	5	1	12	2	0	2	0	0	0	3	1	0	1	0	0	1	5	13	0	3	0	16	22	12	2	10	18	0	1	3	13	0	6	5	14	0	21	3	3	6	1	3
Latest from Crooks and Liars	0	0	7	1	3	0	0	0	3	0	2	5	2	0	1	0	1	0	1	1	1	1	0	2	0	5	0	1	1	0	9	0	4	0	0	1	1	1	0	1	0	2	2	0	5	2	2	0	1	1	2	1	0	2	0	0	6	1	1	0	0	2	3	1	0	0	3	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0	2	1	0	0	1	0	0	2	0	2	5	1	0	1	1	1	3	0	0	0	0	0	0	0	0	2	0	0	0	4	1	0	1	0	1	0	0	0	3	0	0	1	0	0	2	0	1	0	0	0	1	0	0	6	4	23	0	1	0	6	0	1	1	0	0	2	1	0	1	12	0	0	1	0	1	1	0	1	0	0	6	1	4	1	1	0	0	0	2	4	0	4	3	1	0	1	2	0	1	9	0	0	0	0	1	0	0	0	0	1	0	0	2	5	0	0	1	0	1	2	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	2	0	0	2	2	1	0	0	1	0	1	0	0	0	0	0	0	6	2	0	3	1	1	2	4	0	1	1	1	0	2	0	29	0	0	1	0	1	3	2	1	0	0	2	2	1	0	0	3	0	1	1	0	0	2	0	0	0	0	0	2	0	0	0	6	2	1	0	4	7	0	6	0	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	5	3	1	3	0	0	1	4	0	2	1	0	0	1	0	5	2	1	1	0	1	0	1	0	0	2	0	0	1	0	1	0	1	0	0	3	3	1	0	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	5	0	0	0	4	3	0	0	0	0	0	1	0	0	1	0	2	1	0	2	0	2	2	3	1	0	0	5	3	0	1	3	0	6	4	0	0	0	0	1	0	0	3	19	0	0	1	3	4	0	2	1	0	4	0	0	0	0	0	1	0	0	4	5	1	1	0	10	0	0	0	0	0	0	1	0	0	0	14	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	9	4	1	2	14	0	0	1	6	0	0	4	2	2	2	1	1	3	1	0
